,company,year,price,kms_covered,fuel_type
257,Maruti,2010,249999,36000,Petrol
258,Maruti,2015,289999,22000,Petrol
259,Mini,2013,1891111,13500,Petrol
260,Nissan,2015,499999,60000,Diesel
261,Renault,2013,489999,27000,Diesel
262,Renault,2014,489999,59000,Diesel
263,Renault,2015,549999,19000,Diesel
264,Maruti,2013,380000,30000,Petrol
265,Renault,2018,325000,15000,Petrol
266,Maruti,2003,57000,56758,Petrol
267,Renault,2018,349999,10000,Petrol
268,Renault,2018,689999,20000,Diesel
269,Renault,2014,349999,49000,Diesel
270,Hyundai,2014,410000,41000,Petrol
271,Maruti,2011,225000,45000,Petrol
272,Chevrolet,2010,120000,43000,Petrol
273,Tata,2016,320000,175430,Diesel
274,Hyundai,2000,59000,56450,Petrol
275,Hyundai,2015,540000,38000,Diesel
276,Chevrolet,2010,80000,56000,Petrol
277,Mahindra,2013,340000,37000,Diesel
278,Fiat,2008,75000,65000,Petrol
279,Chevrolet,2015,220000,32700,Petrol
280,Skoda,2011,159500,38200,Diesel
281,Ford,2016,599000,30000,Diesel
282,Hyundai,2006,80000,56000,Petrol
283,Mahindra,2016,675000,9000,Diesel
284,Mini,2013,1891111,13000,Petrol
285,Mini,2013,1891111,13000,Petrol
286,Tata,2008,150000,11000,Petrol
287,Mini,2013,1891111,13000,Petrol
288,Tata,2009,72500,46000,Diesel
289,Maruti,2019,610000,73,Petrol
290,Mahindra,2004,230000,160000,Diesel
291,Honda,2009,175000,58559,Petrol
292,Mahindra,2015,855000,30000,Diesel
293,Chevrolet,2013,375000,55000,Diesel
294,Ford,2014,520000,57000,Diesel
295,Maruti,2015,524999,50000,Diesel
296,Honda,2014,299999,37000,Petrol
297,Maruti,2012,299999,40000,Petrol
298,Honda,2011,284999,55000,Petrol
299,Mahindra,2007,220000,170000,Diesel
300,Maruti,2014,424999,55000,Diesel
301,Honda,2015,644999,39000,Petrol
302,Honda,2014,399999,44000,Petrol
303,Toyota,2009,199999,65000,Petrol
304,Honda,2014,584999,39000,Petrol
305,Skoda,2012,349999,44000,Diesel
306,Renault,2015,449999,49000,Diesel
307,Maruti,2018,799999,9000,Diesel
308,Maruti,2015,444999,45000,Diesel
309,Mahindra,2014,649999,47000,Diesel
310,Hyundai,2012,444999,40000,Diesel
311,Maruti,2016,689999,29000,Diesel
312,Maruti,2016,344999,15000,Petrol
313,Mahindra,2015,944999,45000,Diesel
314,Honda,2014,274999,35000,Petrol
315,Mahindra,2013,689999,80000,Diesel
316,Mahindra,2013,574999,68000,Diesel
317,Skoda,2013,374999,50000,Diesel
318,Volkswagen,2010,199999,60000,Diesel
319,Hyundai,2016,549999,9000,Petrol
320,Tata,2012,130000,72000,Diesel
321,Chevrolet,2013,210000,60000,Petrol
322,Renault,2012,501000,38000,Diesel
323,Hyundai,2013,401000,45000,Diesel
324,Audi,2012,1350000,40000,Diesel
325,Hyundai,2013,600000,20000,Petrol
326,Mahindra,2013,610000,35000,Diesel
327,Mahindra,2016,400000,20000,Diesel
328,Renault,2015,375000,25000,Diesel
329,Mahindra,2013,375000,20000,Diesel
330,Hyundai,2014,365000,20000,Petrol
331,Hyundai,2015,500000,18000,Petrol
332,Mahindra,2012,400000,35000,Diesel
333,Hyundai,2017,524999,6821,Petrol
334,Hyundai,2014,449999,23000,Petrol
335,Hyundai,2014,174999,14000,Petrol
336,Hyundai,2012,244999,38000,Petrol
337,Hyundai,2015,574999,35000,Diesel
338,Datsun,2017,244999,22000,Petrol
339,Toyota,2011,239999,41000,Petrol
340,Hyundai,2010,99999,45000,Petrol
341,Hyundai,2014,489999,44000,Diesel
342,Maruti,2013,324999,45000,Diesel
343,Toyota,2011,1074999,52000,Diesel
344,Hyundai,2012,230000,34000,Petrol
345,Mahindra,2018,699000,1800,Diesel
346,Mahindra,2015,1000000,15000,Diesel
347,Honda,2010,240000,400000,Petrol
348,Chevrolet,2009,110000,44000,Petrol
349,Mahindra,2019,390000,60,Diesel
350,Renault,2012,501000,35000,Diesel
351,Mahindra,2016,1130000,72000,Diesel
352,Tata,2014,250000,40000,Diesel
353,Mahindra,2013,330000,80200,Diesel
354,Force,2015,580000,3200,Diesel
355,Skoda,2013,340000,48000,Diesel
356,Tata,2011,120000,90000,Diesel
357,Maruti,2015,265000,12000,Petrol
358,Maruti,2012,265000,46000,Diesel
359,Maruti,2003,85000,69900,Petrol
360,Mahindra,2019,379000,0,Diesel
361,Hyundai,2011,175000,45000,Petrol
362,Maruti,2015,219000,5000,Petrol
363,Maruti,2016,350000,166000,Diesel
364,Honda,2008,149000,42000,Petrol
365,Mahindra,2018,385000,588,Diesel
366,Mahindra,2006,425000,122,Diesel
367,Chevrolet,2017,150000,62000,Diesel
368,Honda,2010,225000,70000,Petrol
369,Hyundai,2014,375000,36000,Petrol
370,Toyota,2012,770000,0,Diesel
371,Maruti,1995,30000,55000,Petrol
372,Toyota,2011,275000,36000,Diesel
373,Volkswagen,2015,330000,38000,Diesel
374,Maruti,2014,335000,55000,Diesel
375,Hyundai,2015,450000,20000,Diesel
376,Maruti,2012,225000,40000,Petrol
377,Maruti,2004,80000,50000,Petrol
378,Tata,2016,130000,104000,Diesel
379,Volkswagen,2011,245000,65000,Diesel
380,Mercedes,2002,399000,41000,Petrol
381,Maruti,2013,450000,90000,Diesel
382,Honda,2000,65000,80000,Petrol
383,Hyundai,2006,75000,46000,Petrol
384,Maruti,2001,70000,70000,Petrol
385,Hyundai,2017,190000,36469,Diesel
386,Hyundai,2018,600000,7800,Petrol
387,Volkswagen,2011,245000,65000,Diesel
388,Maruti,2017,240000,60000,Petrol
389,Maruti,2011,155000,32000,Petrol
390,Honda,2009,169999,24695,Petrol
391,Hyundai,2017,450000,15141,Petrol
392,Maruti,2001,40000,40000,Petrol
393,Mahindra,2012,165000,65000,Diesel
394,Maruti,2014,270000,22000,Petrol
395,Hyundai,2016,280000,59910,Diesel
396,Mahindra,2012,560000,100000,Diesel
397,Hyundai,2016,950000,25000,Petrol
398,Hyundai,2013,310000,35000,Petrol
399,Renault,2015,715000,65000,Diesel
400,Hyundai,2014,340000,35000,Petrol
401,Honda,2012,235000,33000,Petrol
402,Mahindra,2017,610000,68000,Diesel
403,Chevrolet,2010,95000,23000,Petrol
404,Mahindra,2018,1000000,4500,Diesel
405,Maruti,2015,220000,129000,Diesel
406,Nissan,2019,1200000,300,Diesel
407,Maruti,2015,230000,5000,Petrol
408,Ford,2001,45000,65000,Petrol
409,Toyota,2010,940000,131000,Diesel
410,Tata,2010,155555,111111,Petrol
411,Mercedes,2013,1500000,14000,Petrol
412,Chevrolet,2016,210000,22000,Diesel
413,Ford,2013,495000,38000,Diesel
414,Tata,2016,125000,70000,Diesel
415,Hyundai,2010,195000,36000,Petrol
416,Volkswagen,2015,550000,34000,Diesel
417,Renault,2015,270000,43000,Petrol
418,Ford,2014,500000,40000,Diesel
419,Honda,2016,240000,160000,Diesel
420,Hyundai,2017,800000,12000,Petrol
421,BMW,2011,1299000,49000,Diesel
422,Skoda,2011,530000,68000,Petrol
423,Audi,2013,1499000,37000,Diesel
424,Mahindra,2012,220000,59466,Diesel
425,Mahindra,2015,900000,97200,Diesel
426,Ford,2012,250000,99000,Diesel
427,Maruti,2018,395000,25500,Petrol
428,Mahindra,2009,130000,66000,Petrol
429,Tata,2010,32000,44005,Petrol
430,Mahindra,2016,540000,35000,Diesel
431,Mahindra,2016,540000,35000,Diesel
432,Hyundai,2015,405000,28000,Petrol
433,Hyundai,2015,400000,30000,Petrol
434,Honda,2017,760000,4000,Petrol
435,Maruti,2016,500000,28000,Petrol
436,Ford,2011,175000,75000,Petrol
437,Mahindra,2015,900000,97200,Diesel
438,Honda,2017,750000,3000,Petrol
439,Hyundai,2015,419000,20000,Petrol
440,Maruti,2004,90000,50000,Petrol
441,Hyundai,2018,140000,2110,Petrol
442,Mitsubishi,2015,1540000,43222,Petrol
443,Hyundai,2008,275000,100200,Petrol
444,Toyota,2003,150000,100000,Petrol
445,Maruti,2011,230000,65,Petrol
446,Tata,2015,123000,100000,Diesel
447,Mahindra,2015,900000,97200,Diesel
448,Mahindra,2015,900000,97200,Diesel
449,Hyundai,2016,300000,140000,Diesel
450,Honda,2015,499999,55000,Petrol
451,Hyundai,2009,165000,48000,Petrol
452,Maruti,2016,498000,22000,Petrol
453,Tata,2018,480000,103553,Diesel
454,Maruti,2017,488000,80000,Diesel
455,Tata,2014,250000,99000,Diesel
456,Toyota,2010,220000,58000,Petrol
457,Maruti,2013,290000,70000,LPG
458,Toyota,2015,1525000,120000,Diesel
459,Mahindra,2013,548900,49800,Diesel
460,Tata,2019,650000,100,Diesel
461,Maruti,2001,55000,81876,Petrol
462,Maruti,2015,550000,75000,Petrol
463,Maruti,2004,90000,50000,Petrol
464,Honda,2014,399000,44000,Diesel
465,Maruti,2016,730000,55000,Diesel
466,Maruti,2017,725000,36000,Diesel
467,Hyundai,2016,195000,56000,Diesel
468,Maruti,2007,130000,62000,Petrol
469,Toyota,2015,1525000,120000,Diesel
470,Maruti,2014,190000,6020,Petrol
471,Honda,2013,250000,55700,Diesel
472,Tata,2005,80000,42000,Petrol
473,Hyundai,2003,120000,50000,Petrol
474,Maruti,2010,149000,35000,Petrol
475,Maruti,2014,250000,18500,Petrol
476,Maruti,2007,120000,7000,Petrol
477,Honda,2017,450000,11000,Petrol
478,Maruti,2003,99999,53000,Petrol
479,Maruti,2008,135000,23000,Petrol
480,Maruti,2016,225000,35500,Diesel
481,Maruti,2010,99000,22134,Petrol
482,Renault,2019,370000,1000,Petrol
483,Tata,2010,52000,9000,Petrol
484,Jaguar,2016,2800000,8500,Petrol
485,Hyundai,2014,190000,35000,Petrol
486,Honda,2014,499000,22000,Petrol
487,Hindustan,2002,90000,25000,Diesel
488,Maruti,2010,149000,40000,Petrol
489,Hyundai,2017,400000,20000,Petrol
490,Hyundai,2016,120000,87000,Petrol
491,Maruti,2015,250000,55000,Petrol
492,Maruti,2017,375000,23000,Petrol
493,Honda,2014,381000,6000,Petrol
494,Maruti,2013,180000,65000,Petrol
495,Maruti,2016,580000,25000,Diesel
496,Maruti,2015,278000,39000,Petrol
497,Hyundai,2016,1000000,8000,Petrol
498,Mahindra,2013,690000,75000,Diesel
499,Maruti,2012,480000,51000,Diesel
500,Mitsubishi,2006,85000,50000,Petrol
501,Maruti,2001,40000,75000,Petrol
502,Maruti,2015,90000,55800,Petrol
503,Hyundai,2015,340000,53000,Petrol
504,Hyundai,2018,260000,25000,Petrol
505,Ford,2009,250000,56400,Petrol
506,Maruti,2010,180000,72160,Diesel
507,Hyundai,2012,350000,10000,Diesel
508,Maruti,2006,90001,48000,Petrol
509,Maruti,2007,115000,36000,Petrol
510,Audi,2012,1599000,11500,Diesel
511,Maruti,2003,130000,133000,Petrol
512,Maruti,2009,159000,27000,Petrol
513,Maruti,2009,160000,35000,Petrol
514,Maruti,2010,110000,55000,Petrol
515,Maruti,2016,425000,40000,Petrol
516,Hyundai,2019,900000,2000,Petrol
517,Maruti,2009,150000,45000,Petrol
518,Hyundai,2009,110000,20000,Petrol
519,Hyundai,2000,51999,88000,Petrol
520,Hyundai,2009,115000,20000,Petrol
521,Chevrolet,2012,215000,65422,Diesel
522,Ford,2017,580000,10000,Petrol
523,Maruti,2013,380000,35000,Petrol
524,Hyundai,2013,350000,117000,Diesel
525,Tata,2005,35000,150000,Diesel
526,BMW,2011,1150000,72000,Diesel
527,Hyundai,2010,300000,10750,Petrol
528,Honda,2009,269000,55000,Petrol
529,Tata,2013,60000,6800,Petrol
530,Chevrolet,2014,400000,41000,Diesel
531,Hyundai,2015,430000,73000,Diesel
532,Maruti,2011,140000,65000,Diesel
533,Mahindra,2018,1299000,40000,Diesel
534,Maruti,2014,199000,37000,Petrol
535,Hyundai,2006,90000,55000,Petrol
536,Force,2013,550000,140000,Diesel
537,Maruti,2019,265000,9800,Petrol
538,Chevrolet,2011,100000,27000,Petrol
539,Hyundai,2009,215000,27000,Petrol
540,Toyota,2012,380000,20000,Diesel
541,Renault,2013,401919,57923,Diesel
542,Chevrolet,2014,490000,30201,Diesel
543,Maruti,2017,280000,6200,Petrol
544,BMW,2009,650000,37518,Petrol
545,Toyota,2014,160000,24652,Petrol
546,Mahindra,2004,424000,383,Diesel
547,Chevrolet,2016,225000,95000,Diesel
548,Chevrolet,2011,350000,35000,Diesel
549,Jeep,2015,950000,3528,Diesel
550,Maruti,2013,485000,52500,Diesel
551,Hyundai,2010,205000,47900,Diesel
552,Maruti,2012,160000,14000,Petrol
553,Maruti,2018,310000,37000,Petrol
554,Tata,2017,180000,90000,Diesel
555,Mahindra,2013,549900,52800,Diesel
556,Tata,2016,150000,104000,Diesel
557,Hyundai,2011,175000,30000,Petrol
558,Tata,2014,95000,195000,Diesel
559,Tata,2016,230000,104000,Diesel
560,Tata,2016,230000,104000,Diesel
561,Tata,2004,180000,70000,Diesel
562,Hyundai,2015,400000,43000,Diesel
563,Hyundai,2013,185000,23000,Petrol
564,Renault,2015,385000,51000,Diesel
565,Maruti,2009,90000,62000,Petrol
566,Tata,2010,32000,48008,Petrol
567,Renault,2013,435000,39000,Diesel
568,Maruti,2010,225000,40000,Petrol
569,Maruti,2006,189700,48247,Petrol
570,Maruti,2012,389700,39000,Diesel
571,Maruti,2014,365000,23000,Petrol
572,Maruti,2017,360000,9400,Petrol
573,Hyundai,2010,210000,50000,Petrol
574,Hyundai,2009,170000,75000,Petrol
575,Tata,2017,380000,70000,Diesel
576,Mahindra,2009,295000,64000,Diesel
577,Toyota,2010,185000,55000,Petrol
578,Tata,2014,160000,200000,Diesel
579,Renault,2018,290000,2137,Petrol
580,Tata,2013,100000,30000,Diesel
581,Maruti,2014,315000,44000,Petrol
582,Skoda,2006,114990,65000,Diesel
583,Maruti,2012,120000,160000,LPG
584,Chevrolet,2011,125000,56000,Diesel
585,Tata,2012,210000,75000,Diesel
586,Hyundai,2018,855000,42000,Diesel
587,Tata,2012,210000,75000,Diesel
588,Mahindra,2007,260000,56000,Diesel
589,Maruti,2002,95000,10544,Petrol
590,Maruti,2011,255000,64000,Petrol
591,Mahindra,2008,300000,70000,Diesel
592,Hyundai,2014,340000,25000,Petrol
593,Hyundai,2017,550000,15000,Petrol
594,Ford,2003,60000,50000,Petrol
595,Toyota,2011,750000,147000,Diesel
596,Nissan,2011,230000,52000,Petrol
597,Chevrolet,2012,130000,90001,Diesel
598,Maruti,2017,270000,21000,Petrol
599,Maruti,2012,280000,48006,Diesel
600,Maruti,2012,280000,48006,Diesel
601,Maruti,2012,280000,48006,Diesel
602,Toyota,2012,600000,80000,Diesel
603,Maruti,2010,190000,74000,Diesel
604,Hyundai,2015,500000,22000,Petrol
605,Mahindra,2016,1065000,41000,Diesel
606,Volkswagen,2015,350000,25000,Diesel
607,Toyota,2012,350000,85000,Diesel
608,Mahindra,2016,540000,29500,Diesel
609,Hyundai,2015,470000,30000,Petrol
610,Hyundai,2014,179000,57000,Petrol
611,Maruti,2003,48000,60000,Petrol
612,Maruti,2016,650000,50000,Petrol
613,Hyundai,2013,190000,39700,Petrol
614,Hyundai,2012,500000,65000,Petrol
615,Maruti,2010,270000,67000,Diesel
616,Maruti,2008,125000,46000,Petrol
617,Hyundai,2012,188000,38000,Petrol
618,Hyundai,2016,380000,27000,Petrol
619,Hyundai,2011,365000,43000,Diesel
620,Ford,2014,465000,47000,Petrol
621,Hyundai,2011,240000,42000,Petrol
622,Chevrolet,2016,179999,19336,Diesel
623,Tata,2015,140000,60105,Diesel
624,Jaguar,2013,2190000,29000,Diesel
625,Audi,2014,2390000,34000,Diesel
626,BMW,2011,1075000,35000,Diesel
627,Maruti,2015,475000,22000,Petrol
628,BMW,2012,1025000,41000,Diesel
629,Maruti,2016,615000,21000,Diesel
630,Maruti,2013,475000,48000,Diesel
631,Maruti,2016,270000,38000,Petrol
632,Honda,2014,475000,34000,Diesel
633,Volkswagen,2011,240000,45933,Petrol
634,Honda,2005,120000,68000,Petrol
635,Audi,2016,1900000,44000,Diesel
636,Mahindra,2017,360000,35000,Diesel
637,Tata,2018,450000,102563,Diesel
638,Mahindra,2015,900000,28600,Diesel
639,Maruti,2017,650000,41800,Diesel
640,Tata,2014,275000,116000,Diesel
641,Maruti,2009,210000,59000,Petrol
642,Mahindra,2004,175000,58000,Diesel
643,Maruti,2009,85000,45000,Petrol
644,Mitsubishi,2015,1490000,42590,Diesel
645,Renault,2014,800000,7400,Diesel
646,Volkswagen,2009,450000,54500,Diesel
647,Maruti,2012,1000000,200000,Diesel
648,Audi,2013,1510000,27000,Diesel
649,Volvo,2015,1850000,42000,Diesel
650,Toyota,2014,790000,29000,Petrol
651,Mitsubishi,2015,1725000,37000,Diesel
652,Chevrolet,2012,135000,36000,Petrol
653,BMW,2011,1000000,34000,Diesel
654,Datsun,2018,299999,7000,Petrol
655,Mercedes,2009,1225000,76000,Diesel
656,Mahindra,2004,175000,60000,Diesel
657,Volkswagen,2011,200000,95000,Diesel
